epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,245.595,0.87833,1.12546,0.01159,0.82159,0.86278,0.90602,0.63988,1.02902,0.79496,0.01858,0.00068815,0.00068815,0.00068815
65,249.183,0.80526,1.09997,0.0113,0.86617,0.81431,0.90485,0.66014,0.9953,0.77657,0.0176,0.0006832,0.0006832,0.0006832
66,252.979,0.86053,1.11566,0.01221,0.76062,0.86812,0.89993,0.65523,1.01783,0.77303,0.01799,0.00067825,0.00067825,0.00067825
67,256.963,0.86947,1.16225,0.0127,0.80956,0.82864,0.90202,0.63276,1.11052,0.75997,0.02084,0.0006733,0.0006733,0.0006733
68,261.016,0.86148,1.0723,0.01121,0.76158,0.83559,0.89274,0.65218,1.04145,0.77749,0.0191,0.00066835,0.00066835,0.00066835
69,265.243,0.81521,1.01985,0.01163,0.74304,0.91925,0.87943,0.66503,0.94596,0.84597,0.01692,0.0006634,0.0006634,0.0006634
70,269.326,0.85426,1.16674,0.01287,0.75039,0.91161,0.88825,0.66711,0.94844,0.87336,0.01699,0.00065845,0.00065845,0.00065845
71,273.074,0.79518,1.033,0.01014,0.77497,0.90017,0.89471,0.68005,0.94351,0.76193,0.01731,0.0006535,0.0006535,0.0006535
72,276.74,0.78172,0.98698,0.0104,0.81015,0.87858,0.89964,0.68436,0.89537,0.69348,0.01603,0.00064855,0.00064855,0.00064855
73,280.408,0.78899,0.98706,0.00968,0.92397,0.80696,0.90068,0.66964,0.93677,0.67569,0.01601,0.0006436,0.0006436,0.0006436
74,284.152,0.78865,0.99355,0.01038,0.92856,0.77961,0.89886,0.66256,0.98851,0.66588,0.01692,0.00063865,0.00063865,0.00063865
75,288.057,0.81739,0.96374,0.01051,0.7175,0.91162,0.88319,0.6427,0.98429,0.72838,0.01644,0.0006337,0.0006337,0.0006337
76,291.621,0.79329,0.986,0.0102,0.71919,0.88399,0.8795,0.64842,0.99139,0.69402,0.01678,0.00062875,0.00062875,0.00062875
77,295.116,0.83855,1.01864,0.01139,0.84433,0.82345,0.89479,0.67016,0.96516,0.70253,0.01654,0.0006238,0.0006238,0.0006238
78,298.945,0.79343,0.97644,0.0106,0.78369,0.8756,0.90316,0.67935,0.95633,0.74671,0.01651,0.00061885,0.00061885,0.00061885
79,302.622,0.81894,0.95925,0.01051,0.89558,0.75612,0.90787,0.67971,0.94947,0.76945,0.01684,0.0006139,0.0006139,0.0006139
80,306.352,0.81655,0.96398,0.01104,0.84019,0.78438,0.90831,0.67927,0.95033,0.76728,0.01669,0.00060895,0.00060895,0.00060895
81,310.304,0.77601,0.95489,0.01062,0.81604,0.81593,0.90205,0.66425,0.99786,0.76663,0.0172,0.000604,0.000604,0.000604
82,314.681,0.7963,0.91414,0.01044,0.80407,0.83396,0.90772,0.65727,0.99934,0.75275,0.01733,0.00059905,0.00059905,0.00059905
83,320.782,0.78617,0.91703,0.01099,0.82513,0.78159,0.8884,0.64739,0.96446,0.68563,0.01656,0.0005941,0.0005941,0.0005941
84,325.118,0.80092,0.8998,0.01119,0.89757,0.81536,0.91233,0.67787,0.90467,0.62962,0.01533,0.00058915,0.00058915,0.00058915
85,329.147,0.79546,0.93242,0.01087,0.93199,0.73948,0.90289,0.66652,0.99014,0.68186,0.01727,0.0005842,0.0005842,0.0005842
86,333.082,0.77516,0.94624,0.0105,0.91505,0.76422,0.90991,0.67493,1.00167,0.64603,0.0175,0.00057925,0.00057925,0.00057925
87,337.233,0.78769,0.88247,0.00993,0.82553,0.88739,0.90901,0.67487,0.97839,0.70998,0.01685,0.0005743,0.0005743,0.0005743
88,341.586,0.76973,0.90537,0.01071,0.85544,0.88581,0.91594,0.67587,0.97897,0.69979,0.01721,0.00056935,0.00056935,0.00056935
89,346.105,0.75155,0.80537,0.00958,0.88049,0.83612,0.92578,0.68624,0.96086,0.65224,0.01693,0.0005644,0.0005644,0.0005644
90,350.314,0.75104,0.86447,0.01023,0.87804,0.88432,0.92768,0.67595,0.97607,0.63237,0.017,0.00055945,0.00055945,0.00055945
91,354.578,0.80135,0.92191,0.01056,0.93425,0.86075,0.92951,0.66792,1.03783,0.58452,0.01823,0.0005545,0.0005545,0.0005545
92,358.837,0.80965,0.88145,0.01168,0.90122,0.8497,0.92075,0.66979,1.03242,0.6058,0.01792,0.00054955,0.00054955,0.00054955
93,362.971,0.82819,0.86251,0.01029,0.89352,0.84308,0.93466,0.68525,1.01358,0.58222,0.01784,0.0005446,0.0005446,0.0005446
94,366.764,0.80878,0.79729,0.00993,0.86996,0.86087,0.93555,0.68263,1.00751,0.60251,0.01779,0.00053965,0.00053965,0.00053965
95,370.205,0.7698,0.87206,0.01029,0.82152,0.92064,0.91881,0.66628,0.98048,0.7051,0.01669,0.0005347,0.0005347,0.0005347
96,374.178,0.75617,0.85019,0.01034,0.84768,0.90871,0.92054,0.676,0.93587,0.68305,0.01584,0.00052975,0.00052975,0.00052975
97,377.98,0.76939,0.83637,0.01038,0.77981,0.91618,0.91911,0.68598,0.95387,0.58643,0.01635,0.0005248,0.0005248,0.0005248
98,382.043,0.79766,0.835,0.01023,0.92156,0.78773,0.9156,0.67237,0.98705,0.60216,0.0171,0.00051985,0.00051985,0.00051985
99,386.398,0.73894,0.81114,0.00958,0.76267,0.90564,0.90629,0.67552,0.97854,0.5751,0.01689,0.0005149,0.0005149,0.0005149
100,392.954,0.75475,0.83115,0.01014,0.91388,0.80801,0.91941,0.67869,0.97343,0.59513,0.01693,0.00050995,0.00050995,0.00050995
101,398.731,0.75979,0.79346,0.00989,0.90833,0.78172,0.92423,0.66742,0.96418,0.68725,0.01638,0.000505,0.000505,0.000505
102,402.968,0.77845,0.79392,0.0103,0.82564,0.87917,0.92905,0.66913,0.95901,0.71672,0.01592,0.00050005,0.00050005,0.00050005
103,407.649,0.77909,0.83655,0.01086,0.85508,0.87955,0.92569,0.66568,0.97677,0.70156,0.01572,0.0004951,0.0004951,0.0004951
104,412.056,0.73771,0.82139,0.00947,0.83077,0.93102,0.92352,0.66326,0.99032,0.65331,0.01645,0.00049015,0.00049015,0.00049015
105,416.389,0.74958,0.79633,0.00955,0.7594,0.95114,0.92952,0.68074,0.99137,0.61372,0.01685,0.0004852,0.0004852,0.0004852
106,420.619,0.73433,0.73298,0.0098,0.80804,0.86865,0.93182,0.6939,0.96363,0.57111,0.01624,0.00048025,0.00048025,0.00048025
107,425.394,0.74022,0.76543,0.00923,0.84825,0.84477,0.93022,0.68707,0.93814,0.57982,0.016,0.0004753,0.0004753,0.0004753
108,429.817,0.69994,0.74478,0.00909,0.86868,0.8583,0.92932,0.68923,0.98229,0.57249,0.01685,0.00047035,0.00047035,0.00047035
109,434.156,0.76347,0.7746,0.00994,0.82809,0.92088,0.94081,0.71261,0.96635,0.56936,0.01666,0.0004654,0.0004654,0.0004654
110,438.065,0.73482,0.79174,0.01009,0.83576,0.93454,0.94168,0.71172,0.95908,0.59628,0.01641,0.00046045,0.00046045,0.00046045
111,442.141,0.73167,0.76256,0.0103,0.84355,0.93071,0.9466,0.71021,0.94142,0.62446,0.01609,0.0004555,0.0004555,0.0004555
112,446.038,0.75595,0.71838,0.00992,0.87239,0.897,0.94583,0.70702,0.98456,0.56769,0.01676,0.00045055,0.00045055,0.00045055
113,450.131,0.71397,0.73948,0.00925,0.88688,0.84961,0.94295,0.69527,0.96244,0.59929,0.01671,0.0004456,0.0004456,0.0004456
114,454.198,0.7415,0.75588,0.00958,0.85253,0.86453,0.939,0.6944,0.96596,0.57896,0.01669,0.00044065,0.00044065,0.00044065
115,459.061,0.73156,0.77531,0.0093,0.92309,0.82103,0.94024,0.68742,1.00298,0.58574,0.01795,0.0004357,0.0004357,0.0004357
116,465.008,0.73842,0.74587,0.00945,0.91311,0.83178,0.94219,0.68763,0.97163,0.61247,0.01739,0.00043075,0.00043075,0.00043075
117,469.76,0.73326,0.72851,0.0104,0.93449,0.80844,0.93657,0.70826,0.94268,0.58209,0.01646,0.0004258,0.0004258,0.0004258
118,474.046,0.76838,0.74627,0.0102,0.87094,0.90378,0.93814,0.69854,0.96569,0.54685,0.01663,0.00042085,0.00042085,0.00042085
119,478.21,0.70367,0.67426,0.00918,0.9304,0.87685,0.94039,0.68991,0.98914,0.55889,0.01704,0.0004159,0.0004159,0.0004159
120,482.259,0.682,0.73687,0.00919,0.89776,0.87753,0.94016,0.68423,1.01291,0.56783,0.01769,0.00041095,0.00041095,0.00041095
121,486.36,0.73017,0.74437,0.00974,0.90137,0.86551,0.93479,0.68857,1.01216,0.51591,0.01743,0.000406,0.000406,0.000406
122,490.059,0.69863,0.70277,0.0086,0.88715,0.87962,0.931,0.69022,1.00671,0.49461,0.0171,0.00040105,0.00040105,0.00040105
123,494.215,0.69686,0.70924,0.00905,0.87156,0.84526,0.92115,0.67909,1.03239,0.51313,0.01768,0.0003961,0.0003961,0.0003961
124,498.606,0.70071,0.72237,0.00984,0.86479,0.85441,0.9201,0.67982,1.02962,0.53355,0.01775,0.00039115,0.00039115,0.00039115
125,503.064,0.67929,0.6595,0.0091,0.89708,0.81406,0.91576,0.68509,1.01336,0.58327,0.01753,0.0003862,0.0003862,0.0003862
126,507.206,0.68753,0.67768,0.00899,0.79557,0.8948,0.9201,0.68363,1.01984,0.56014,0.01772,0.00038125,0.00038125,0.00038125
127,511.418,0.6822,0.67565,0.00923,0.76868,0.93854,0.90877,0.67962,1.00879,0.55673,0.01706,0.0003763,0.0003763,0.0003763
