id,name,lat,lng
116,女三舍,24.9662748,121.1923654
117,女二舍,24.9664044,121.1917557
118,女十四舍,24.9655148,121.1943499
119,女四舍,24.9661924,121.1917509
120,客家學院,24.9709302,121.1904257
121,宵夜屋自助餐,24.9653819,121.1936648
122,實習一廠,24.9680011,121.1892323
123,小木屋鬆餅,24.9699622,121.1934112
124,山頂洞人,24.9650501,121.1936381
125,工程一館,24.9674217,121.1926782
126,工程三館(機械館),24.9679444,121.1885372
127,工程五館,24.9669988,121.1873001
128,志希館,24.9702273,121.193658
129,志道樓,24.9656431,121.1938321
130,打啵,24.9671565,121.1907715
131,據德樓,24.9667609,121.1958916
132,教學研究綜合大樓,24.9683295,121.1917082
133,教研大樓地下停車場,24.9681798,121.1916421
134,文學一館,24.9693624,121.1945571
135,文學二館,24.9688741,121.1945477
136,曦望居,24.9709576,121.1943047
137,東東生鮮手工大水餃,24.9651315,121.1935441
138,松果館(育成中心),24.9667635,121.1908141
139,松苑餐廳,24.9670778,121.1906948
140,松院餐廳,24.9670698,121.190635
141,校長宿舍,24.969395,121.1957942
142,湖心亭,24.9707267,121.1916367
143,滿食記燒肉丼飯,24.9653171,121.193539
144,無敵蛋餅,24.9654311,121.1935356
145,理學院教學館(普化實驗大樓),24.9714218,121.1922425
146,環工所,24.96836,121.1875525
147,男13舍,24.9665716,121.1964019
148,男七舍,24.965587,121.1954535
149,男三舍,24.9656173,121.1933568
150,男九舍,24.9704778,121.195653
151,男五舍,24.9660966,121.1951899
152,男六舍,24.965888,121.1957504
153,男十一舍,24.9656697,121.1949258
154,男十二舍,24.9712763,121.1948919
155,福明宮,24.9658373,121.1851324
156,福泉豆花,24.9652901,121.1909283
157,秈春坊,24.9654771,121.1909949
158,科三館,24.9707236,121.1921368
159,科五館(S5),24.9713946,121.1926077
160,科學二館(理學院大樓),24.9699801,121.192245
161,科學四館,24.9712894,121.1918149
162,第二行政中心,24.9682852,121.193621
163,管理學院二館,24.9707253,121.1936117
164,粥王,24.9652355,121.1936332
165,總圖書館,24.9682585,121.1942862
166,美味王,24.9652227,121.1936522
167,羽球館,24.9691147,121.1908354
168,行政大樓,24.9682777,121.1950533
169,資源回收及垃圾處理場,24.9699991,121.1961998
170,資策會,24.9678294,121.1917148
171,資電學院,24.9674672,121.1916643
172,車庫,24.9700914,121.195913
173,通訊系,24.9673851,121.1916966
174,遊藝館,24.9662962,121.195962
175,銀河炒飯,24.9652441,121.1936509
176,電機系,24.9674904,121.1914196
177,饌食園,24.9652433,121.1935428
178,饕客滷味,24.9651912,121.1935423
179,香恬園,24.9654007,121.193671
180,香米便當,24.9701721,121.1955007
181,體育器材室,24.9693496,121.1905357
182,高壓變電站,24.9673254,121.1966198
183,麥味登,24.967023,121.1907369
184,麥味登,24.9653458,121.1935377
