id,name,lat,lng,category
181,Ren Wen She Hui Ke Xue Da Lou,24.9693271,121.1951918,education
182,Rui Lin Mei Er Mei,24.9645816,121.1934176,food_and_dining
183,Sha Shi Fu Tang Bao,24.9646998,121.1933577,food_and_dining
184,Shan Ding Dong Ren,24.9650501,121.1936381,food_and_dining
185,Shao Bing Yao,24.9643393,121.1931987,shop
186,Shi Nei You Yong Chi,24.9700759,121.1895545,leisure
187,Shi Xi Yi Chang,24.9680011,121.1892323,education
188,Shou Ning Meng Shi Si,24.9644392,121.1908222,food_and_dining
189,Shuang Bao Ba Liang Mian,24.9642629,121.1930689,food_and_dining
190,Shuang Lian Gong Yuan,24.9598182,121.1828092,leisure
191,Shuang Lian Gong Yuan,24.9597761,121.1827815,leisure
192,Shuang Long Long Yu Qian Gong,24.9673381,121.1812322,amenity
193,Shui Yue Zhuang Yuan,24.9731279,121.1917167,food_and_dining
194,Shun Tian Li Hu Guo Gong,24.9631505,121.1945068,amenity
195,Sidewalk,24.9643943,121.192384,food_and_dining
196,Song Guo Guan (Yu Cheng Zhong Xin ),24.9667635,121.1908141,residential
197,Song Yuan Can Ting,24.9670698,121.190635,food_and_dining
198,Song Yuan Can Ting,24.9670778,121.1906948,education
199,Su She Fu Wu Zhong Xin,24.9661082,121.1945222,office
200,Sui Yuan Can Ting,24.9649534,121.1910384,food_and_dining
201,Tai Ji Tong Diao,24.969305,121.1936538,tourism
202,Tai Kong Ji Yao Ce Yan Jiu Zhong Xin,24.9678399,121.187321,education
203,Tai Zu You Yu Geng,24.9642216,121.193044,food_and_dining
204,Tao Ke Lu Wei,24.9651912,121.1935423,food_and_dining
205,Tao Yuan Shi Si Li Ai Bi You Er Yuan,24.9678954,121.2013934,education
206,Tao Yuan Shi Zhao Hui Shi Hui Suo,24.9634799,121.1911117,amenity
207,Temple (1309326946),24.9644194,121.19421,building
208,Ti Yu Qi Cai Shi,24.9693496,121.1905357,building
209,Tian Wen Yan Jiu Suo,24.9713768,121.1918266,office
210,Tian Yuan Mei Shi Wu,24.9644604,121.1916545,food_and_dining
211,Ticket Toast Ti Qi Re Ya Tu Si,24.9647755,121.1935361,food_and_dining
212,Tong Xun Xi,24.9673851,121.1916966,education
213,Tu Mu Pin Bao Zhong Xin,24.9691949,121.188617,education
214,Tu Mu Xi Guan &Hua Cai Xi Guan,24.9674864,121.1926876,education
215,University (268841452),24.9673482,121.1926764,education
216,University (268845987),24.9691001,121.1945582,education
217,University (268846333),24.9708858,121.1922458,education
218,Wang Qiu Chang,24.9694333,121.1895438,leisure
219,Wang Qiu Chang,24.9694338,121.190108,leisure
220,Wei Ke Zao Can Dian,24.964046,121.1905677,food_and_dining
221,Wei Xiao Zhuan Jiao,24.96483,121.193637,food_and_dining
222,Wen Xue Er Guan,24.9688741,121.1945477,education
223,Wen Xue Yi Guan,24.9693624,121.1945571,education
224,Wo Jia Bian Li Shang Dian,24.9650656,121.1910106,shop
225,Wu Di Dan Bing,24.9654311,121.1935356,food_and_dining
226,Xi Wang Ju,24.9709576,121.1943047,residential
227,Xia Ke Nai Cha,24.9650597,121.1935441,food_and_dining
228,Xian Chun Fang,24.9654771,121.1909949,food_and_dining
229,Xiang Cheng Shao La,24.9648861,121.1935238,food_and_dining
230,Xiang Jian Xiao Pu,24.9641514,121.1931113,food_and_dining
231,Xiang Mi Bian Dang,24.9701721,121.1955007,food_and_dining
232,Xiang Mi Zi Zhu Can,24.9640521,121.1907084,food_and_dining
233,Xiang Tian Yuan,24.9654007,121.193671,food_and_dining
234,Xiao Chang Su She,24.969395,121.1957942,residential
235,Xiao E Mo,24.9651403,121.1936391,shop
236,Xiao Hong Niu,24.9641557,121.1929501,food_and_dining
237,Xiao Mu Wu Song Bing,24.9699622,121.1934112,food_and_dining
238,Xiao Ye Wu Zi Zhu Can,24.9653819,121.1936648,food_and_dining
239,Xiao Zhu Lu Wei,24.9647798,121.1935771,food_and_dining
